REFCODE,SCP,LCD,PLD,Va,Density,ASA,VF,KH311,300,305,310,315,320,325,330,335,340,345,350,353,adsH,dW
LELMIA01_clean.cif,14.57918333,5.76776,4.65145,0.229492,1.47804,749.144,0.511,1.277412076,-7.779891912,-8.70333481,-8.05207638,-8.630784143,-7.580044252,-8.477555766,-7.116338565,-8.091514981,-6.886056648,-7.777283529,-8.242603971,-8.474955193,59.8725391,0.013891258
REGJIW02_clean.cif,15.69658116,4.03381,3.31382,0.088967,2.20306,117.808,0.271678,-2.271598326,-7.195860568,-8.473660723,-8.665546249,-7.512861625,-8.508638306,-8.209011525,-9.292429824,-8.30980392,-8.312471039,-8.673664139,-9.621602099,-9.166852888,59.85150119,0.021693754
LUFNAC03_clean.cif,24.55524136,7.70583,5.80785,0.404099,1.02599,1287.9,0.58871,-0.875065606,-8.067526235,-8.159893906,-8.580044252,-7.8569852,-8.49757288,-7.838631998,-8.262012674,-7.787812396,-7.872895202,-8.480172006,-8.749579998,-7.978810701,59.83979087,0.047222216
PIZPET_clean.cif,21.6602658,4.81496,3.89751,0.270603,1.30745,917.379,0.490179,6.567026366,-8.563837353,-7.958607315,-8.276544328,-7.987162775,-8.4225082,-7.869666232,-7.467245621,-7.677780705,-9.211831629,-8.962573502,-8.417936637,-8.316052869,59.82490859,0.029216134
KIPKAX_clean.cif,8.459977842,7.37825,7.07821,0.0820694,1.86184,268.2,0.244798,1.005098967,-7.258060922,-8.095825632,-7.869666232,-7.995678626,-7.343901798,-8.025949097,-7.821023053,-7.723538196,-8.525783736,-8.436518915,-7.454692884,-8.140261434,59.81469019,0.007409162
AZIXUD_clean.cif,26.98788947,5.95402,4.6164,0.384744,1.10463,1446.78,0.602709,4.046916378,-7.647817482,-7.361510743,-7.684029655,-7.501689446,-7.723538196,-7.549750892,-7.328827157,-6.548213564,-7.806875402,-7.991399828,-8.438898616,-8.155522824,59.80012411,0.038755768
XIBZUF_clean.cif,53.1324694,6.75664,4.51455,0.509453,0.936691,2094.7,0.698526,5.296820894,-7.777283529,-8.339134522,-7.974694135,-8.677780705,-8.991399828,-8.690369833,-8.560667306,-7.835647144,-7.790484985,-6.617982957,-10.44855,-8.427128398,59.79811175,0.049603449
PIJJOI_clean.cif,20.60021301,6.26247,3.63094,0.182602,1.09199,611.738,0.353251,1.045444251,-8.580044252,-7.578396073,-7.663540266,-8.677780705,-8.063989204,-8.350665141,-8.41453927,-8.153662888,-8.568636236,-8.341035157,-10.21041929,-8.459670525,59.74439824,0.022150777
KIPJOK_clean.cif,3.041417532,7.02527,5.09621,0.137893,1.64475,581.779,0.353108,1.382861384,-8.4225082,-8.640164518,-8.651695137,-8.009217308,-9.621602099,-7.924453039,-8.759450752,-8.647817482,-8.749579998,-9.311580178,-7.974694135,-9.174573882,59.71357571,0.011438529
XEQRAO_clean.cif,14.47170524,5.22062,4.50581,0.151004,1.37083,480.211,0.283103,0.904207941,-8.025028006,-8.754487332,-8.732828272,-8.913640169,-8.954677021,-8.950781977,-8.372634143,-8.931814138,-8.863279433,-8.500312917,-9.351639989,-8.962573502,59.68043082,0.030239672
ICOWON_clean.cif,20.10227146,5.83824,4.2449,0.295275,1.26187,918.202,0.493085,4.498242992,-8.659555885,-9.785156152,-9.568636236,-8.307153081,-9.060980224,-8.954677021,-8.294136288,-8.554395797,-8.866461092,-8.517126416,-8.974694135,-9.279840697,59.66591639,0.027593879
HOWPOZ_clean.cif,16.77936825,6.75609,5.78018,0.309872,1.27988,1073.38,0.550834,0.47442316,-8.156767222,-7.913640169,-6.179798541,-8.565431096,-7.982966661,-8.420216403,-8.419075024,-8.098541679,-8.484126156,-8.684029655,-9.085656843,-8.91721463,59.66486019,0.021675307
KEJBOQ_clean.cif,14.71110491,4.92727,3.87741,0.166819,1.30921,544.465,0.450534,1.948818216,-8.118615343,-8.600326279,-8.191114133,-8.555955204,-8.361510743,-8.169411331,-8.095825632,-8.522878745,-8.1837587,-8.93930216,-8.266000713,-8.879426069,59.53198201,0.018302164
QITYOI_clean.cif,14.38576,5.0945,3.50966,0.20877,1.38238,707.745,0.414109,0.143994762,-7.728158393,-7.974694135,-7.607303047,-8.835647144,-8.612610174,-9.293282218,-8.560667306,-9.254144805,-8.578396073,-8.709965389,-9.106793247,-7.133712661,59.52591972,0.017513821
QATHOK_clean.cif,14.43239127,9.30401,6.57067,0.27271,1.21668,889.758,0.436452,0.878148234,-8.705533774,-7.966576245,-8.903089987,-8.112945622,-8.196542884,-8.795880017,-8.326058001,-8.503070352,-7.378823718,-8.153044675,-10.00261362,-8.024568191,59.46681482,0.023628992
